,Step,Value
0,244,23.23480796813965
1,465,25.682886028289797
2,556,27.290214743614197
3,658,34.227585394620895
4,804,42.163477034890654
5,1026,45.80910089591682
6,1132,44.12477322948584
7,1458,46.959591180609834
8,1494,51.85772022202422
9,1510,52.36301852569568
10,1565,54.826847302017114
11,1940,54.07326297862617
12,1960,55.608008700289275
13,2503,53.62411540153251
14,2693,53.247864500604386
15,2717,53.62639660987652
16,3083,59.30682257066555
17,3241,60.12780930164287
18,3265,56.68868036397701
19,3566,59.7761547528619
20,4121,60.34878259584082
21,4181,63.74502553971665
22,4564,62.091520800861204
23,5090,64.27354654120566
24,5187,68.81063994149454
25,5262,65.87690100593443
26,5295,63.69977621728792
27,5362,64.40794340591054
28,5454,65.27795878894486
29,5667,67.30976846486583
30,5832,68.42671414484298
31,5866,68.5830378336634
32,5981,67.61962505106993
33,5997,65.9079923285657
34,6053,67.58229686673201
35,6279,65.5388177313145
36,6334,65.86978897115345
37,6569,65.36967646044137
38,6730,64.52163065391179
39,6850,67.27861402213361
40,6991,67.25419176134287
41,7253,68.40325820282992
42,7436,73.91492637853335
43,7464,72.35544258685344
44,7644,72.5931975184055
45,7730,72.84033315553725
46,7986,72.1404397984176
47,8122,73.98978245902606
48,8291,78.91731568526492
49,8548,73.50983021754598
50,8554,72.83851239267776
51,8618,76.13924310213547
52,8659,79.53126976852901
53,8694,73.18483983944351
54,8724,67.5582378640763
55,8752,70.3424098993086
56,8776,68.99163587779123
57,8778,65.6116162727949
58,9152,68.90903818429265
59,9252,70.8080633923177
60,9291,69.72001065989828
61,9327,72.41891518884323
62,9359,78.02467303380776
63,9712,77.03726426928834
64,9753,74.88430409972028
65,9837,75.31759400111966
66,9894,76.27708647748979
67,9917,73.87742604798058
68,9949,71.76784621365947
69,9979,65.90372175658614
70,10063,65.73164081853767
71,10090,66.92921738862812
72,10121,70.61740512335149
73,10191,69.5023488668727
74,10445,67.47318450986425
75,10518,67.70685885670005
76,10643,70.94151720776048
77,10645,70.90518502759738
78,10707,72.55141487233473
79,11023,80.1980033311818
80,11118,76.8203303431012
81,11819,73.55612421357206
82,11867,74.80782711779113
83,12027,79.99700232380411
84,12076,80.52889271009677
85,12354,75.60980088427073
86,12398,73.220302187177
87,12476,75.10327706173717
88,12905,78.21312119583598
89,13304,80.37565374888246
90,13388,74.82327659566873
91,13522,76.47814890636725
92,13550,81.06785921811723
93,13642,77.91281758820726
94,13647,80.12639124209042
95,13802,81.4216926570952
96,13849,79.35281818357974
97,13971,80.49799688121368
98,14046,78.26248344522304
99,14188,79.32647358407922
100,14265,85.13552943245367
101,14361,85.15523831714616
102,14645,83.31473607787503
103,14745,82.86867846770744
104,14851,84.64583214188725
105,14864,80.58772570744499
106,15065,78.65517636365735
107,15070,80.1623377600609
108,15185,80.57665057871777
109,15371,82.43464037289155
110,15610,82.20630764398419
111,16241,82.75609880207406
112,16392,83.0289941776858
113,16834,84.44478817847434
114,16866,84.01583926933014
115,16883,83.99306542971186
116,16907,86.03927926027461
117,16947,86.14519157045217
118,18121,84.01112531352204
119,18129,83.90735004066366
120,18137,86.0907211826354
121,18405,90.76403851183188
122,18481,87.89522893867039
123,18759,88.63910583749384
124,18765,84.23287714601284
125,18795,79.6957317145528
126,19109,76.63208545834644
127,19209,80.96365508588354
128,19319,77.51386256793509
129,19377,80.94638401282295
130,19501,83.66889174293075
131,19546,83.81217294120793
132,19617,88.90282411184316
133,19841,87.22481016303543
134,19999,84.66191230801371
135,20618,83.02478671669446
136,20646,86.93865370064538
137,20841,91.46691806925462
138,20968,93.5781471435344
139,21036,90.37334722166244
140,21052,92.3552964170996
141,21129,92.09311981342137
142,21267,97.61771461606637
143,21311,92.9659910326652
144,21676,93.7639173136785
145,22063,93.46059146589431
146,22162,90.50343855228458
147,22702,94.53446459378272
148,23071,89.89634087944675
149,23106,85.8242569960649
150,23406,86.93401345092764
151,23500,86.10694320208732
152,24378,87.44781967526544
153,24469,89.19323636936136
154,24718,92.30364567408898
155,24758,91.10806143894243
156,24828,89.51394427937548
157,24938,91.31594161146818
158,24991,93.59806964159854
159,25112,87.56215100444079
160,25444,93.9706338347317
161,25649,93.19682106237839
162,25715,93.48595520587807
163,25929,92.73259622675417
164,26303,90.01448497572444
165,26377,89.7266551096148
166,26646,92.98957037161496
167,26693,95.98776338642935
168,26816,95.72045443876767
169,27014,93.69090952734706
170,27029,101.75475661875282
171,27104,105.55799744112545
172,27308,106.02520839319395
173,27792,104.95511472576759
174,27833,104.9762682169757
175,27894,101.35193758831117
176,28006,106.03373481017192
177,28102,108.35971363588735
178,28794,108.54740545525034
179,28972,103.73406104016104
180,28984,103.01849877439568
181,29310,106.13067986033595
182,29490,115.90069274944962
183,29565,115.07508895910249
184,29620,113.55361061889921
185,29636,116.77255343158191
186,29677,113.93592914487198
187,29831,110.70953627887849
188,29874,110.76752195948323
189,30055,111.64211420083907
190,30080,113.35920153543489
191,30300,107.34709796222415
192,30703,109.18176460639151
193,30919,113.16836862881169
194,30959,107.52715073378192
195,30967,105.64057079949588
196,31006,112.20544785657346
197,31376,110.96624444761869
198,31410,118.243563487263
199,31660,117.48960571588255
200,31918,118.9023426844279
201,31953,115.52893700625101
202,31976,113.34217267296472
203,32014,104.94432844621436
204,32811,101.62565166768552
205,32824,100.50115702117039
206,33279,90.92425846189131
207,33408,93.15802684287617
208,33701,94.80639160306585
209,33803,92.55054325994485
210,33864,84.37020595735449
211,34464,84.04880935635386
212,34951,92.62305762453164
213,34967,93.25901449293686
214,35140,86.97745773678197
215,35217,84.62990676425295
216,35377,82.61092390818435
217,35477,86.51455509734731
218,35551,84.39614296616806
219,35704,86.98902140222428
220,35913,91.46218041418068
221,35948,90.25380458496373
222,36501,82.75387591076897
223,36694,80.27980285545246
