Wall time,Step,Value
1746640101.6082883,11054,6086.6962890625
1746640127.555578,11094,6738.91015625
1746640144.3518229,11118,5083.91796875
1746640208.080801,11212,5261.79345703125
1746640212.0345726,11218,7056.95263671875
1746640288.5040362,11331,7549.4931640625
1746640331.9882393,11394,6835.27978515625
1746640342.7704782,11409,7020.65478515625
1746640606.400768,11786,6250.42919921875
1746640628.5285127,11819,5930.37744140625
1746640647.4872308,11847,7037.4775390625
1746640660.573039,11867,6968.71142578125
1746640770.3620558,12027,5881.0771484375
1746640804.7636478,12076,7156.28076171875
1746640873.731419,12175,7179.6123046875
1746640876.455206,12179,6010.47900390625
1746640971.8841918,12316,7043.0146484375
1746640998.4921916,12354,5580.87158203125
1746641029.2929115,12398,7518.76953125
1746641030.7180448,12400,7237.06787109375
1746641056.740536,12437,6274.62646484375
1746641084.2898421,12476,6718.1611328125
1746641144.381906,12554,7542.03564453125
1746641177.190145,12601,7076.69189453125
1746641252.3042495,12708,5574.19775390625
1746641384.7318835,12901,7186.06640625
1746641387.3562539,12905,6001.73876953125
1746641414.5790262,12944,7397.38134765625
1746641433.8390055,12972,7060.74609375
1746641436.760652,12976,7292.38916015625
1746641662.822631,13304,6394.60009765625
1746641692.4614983,13349,7699.66455078125
1746641719.1941826,13388,6055.9755859375
1746641740.2641244,13418,5734.97802734375
1746641766.2793877,13455,6473.8544921875
1746641811.9868817,13522,6589.94189453125
1746641830.5392523,13550,7262.77294921875
1746641881.2467377,13623,7027.78173828125
1746641894.6435845,13642,7369.9169921875
1746641898.0719407,13647,7135.45654296875
1746642004.8644114,13802,7384.63720703125
1746642037.7805264,13849,5011.7080078125
1746642120.0207,13971,7310.37060546875
1746642125.957255,13980,7158.33203125
1746642143.0515578,14006,5055.54052734375
1746642170.470627,14046,5749.11376953125
1746642266.397749,14188,6709.455078125
1746642278.3087711,14206,7023.63916015625
1746642319.5419312,14265,5396.33447265625
1746642381.2347918,14354,7042.0146484375
1746642385.9641345,14361,7112.47021484375
1746642416.6587548,14405,7331.1845703125
1746642426.0262496,14419,6907.673828125
1746642506.380576,14535,6997.2431640625
1746642571.0956256,14623,5189.26318359375
1746642585.652752,14645,6529.7109375
1746642653.948274,14745,6923.009765625
1746642705.7057397,14819,6298.431640625
1746642728.3442924,14851,6117.51708984375
1746642737.381443,14864,5808.59375
1746642844.2519743,15019,6012.30029296875
1746642875.2558775,15065,7768.69580078125
1746642878.442899,15070,6102.3974609375
1746642905.12375,15110,7352.96533203125
1746642914.69797,15124,6035.73486328125
1746642934.91352,15153,6974.3603515625
1746642957.4800239,15185,6335.2705078125
1746643062.1574154,15334,6050.0537109375
1746643086.9576147,15371,7994.5673828125
1746643167.463007,15490,6199.794921875
1746643251.7309644,15610,6798.361328125
1746643271.2833738,15638,5914.240234375
1746643356.7311032,15760,6736.70849609375
1746643573.5497556,16076,8672.607421875
1746643602.3812187,16117,5515.708984375
1746643648.4643211,16185,7368.5380859375
1746643649.1689372,16186,7695.7529296875
